,geo,text,user,location
46,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,Liitleb,Addis Ababa
47,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,coldplague,"Addis, Omicron Persei 8"
48,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,BlueColumns,
49,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,MarkosRike1,"Addis Ababa, Ethiopia"
50,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,iyoba4u,Ethiopia
51,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,kiyakiko,"Addis Ababa, Ethiopia"
52,,3/3. . . use it to fill the #GERD's 79 BCM reservoir as quickly as possible. This will likely last only three year… ,iyoba4u,Ethiopia
53,,Ethiopia vs. Egypt: Justice Delayed and Denied for 120 Years - #GERD~~~~~~~~~~~~~~//Justice has been denied for… ,iyoba4u,Ethiopia
54,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,yehagersew,"አዲስ አበባ, Ethiopia."
55,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",Kedu96619067,
56,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",DrTigistY,Ethiopia
57,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,DrTigistY,Ethiopia
58,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,MollaHabesha,Dessie 
59,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,destade,
60,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,Estifan39129546,"Edmonton, Alberta"
61,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,nurhassentweet,Ethiopia
62,, The Declararion of Principles on the #GERD allows Ethiopia to fill the dam by its own. That’s consistent with Internationa…,Tiruneh17,
63,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,addisstandard,Addis Ababa
64,, Ethiopia aspires to grow anchored in utilisation of our natural endowments. I thank the #GERD technical team for their up…,alemuw1,"Atlanta, GA, USA "
65,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,mfaethiopia,"Addis Ababa, Ethiopia🇪🇹"
66,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,MuluWorku6,"Berlin, Deutschland"
67,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,EtFanuel,Addis Abeba
68,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,EtFanuel,Addis Abeba
69,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,NEBGET,
70,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,WenduEyob,Ethiopia
71,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,NEBGET,
72,,#Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the princ… ,GeduAndargachew,
73,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,cityofhargeisa,Republic of Somaliland
74,, UN Chief Encourages Three UN Member States to Agree On Renaissance Dam:  #Africa #GERD #Egypt #Ethiop…,sweetsokabe,
75,,UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan… ,mfaethiopia,"Addis Ababa, Ethiopia🇪🇹"
76,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,ElshaddaiMesfin,Ethiopia
77,," The Secretary-General underscores the importance of the 2015 #DoP on the #GERD, which emphasizes #cooperation based on commo…",destade,
78,," Guterres urges #Ethiopia, #Sudan and #Egypt to peacefully resolve differences on #GERD    …",Estifan39129546,"Edmonton, Alberta"
79,,"UN chief António Guterres underscores the importance of the 2015 Declaration of Principles on GERD, which emphasize… ",EthiopiaOnline,United States | Ethiopia
80,," The Secretary-General underscores the importance of the 2015 #DoP on the #GERD, which emphasizes #cooperation based on commo…",Ermmias,Addis Ababa
81,, UN Chief Encourages Three UN Member States to Agree On Renaissance Dam:  #Africa #GERD #Egypt #Ethiop…,DementedBonxie,#ExitBrexit
82,," Sudan, Egypt resume talks on Nile dam project-- Sudan’s prime minister is leading mediation efforts to convince Ethiop…",marianatrobosky,"London, England"
83,,"Sudan, Egypt resume talks on Nile dam project-- Sudan’s prime minister is leading mediation efforts to convince Et… ",EthiopiaOnline,United States | Ethiopia
84,,2/3EU Backs Strategic Importance Of #GERD For Ethiopia~~~~~~~~~~~~~~~~~~~~The European Union (EU) said it fully… ,iyoba4u,Ethiopia
85,,"To: Ursula von der Leyen () and Charles Michel ()We, Ethiopians, would like to thank yo… ",iyoba4u,Ethiopia
86,," #Ethiopia: #UN Secretary-General António Guterres underscores the importance of the 2015 DoP on the #GERD, which emphasi…",koslofer,
87,," #Ethiopia: #UN Secretary-General António Guterres underscores the importance of the 2015 DoP on the #GERD, which emphasi…",ShalleOsman,
88,," Guterres urges #Ethiopia, #Sudan and #Egypt to peacefully resolve differences on #GERD    …",MagTeerey,
89,,"#Ethiopia: #UN Secretary-General António Guterres underscores the importance of the 2015 DoP on the #GERD, which em… ",addisstandard,Addis Ababa
90,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,destade,
91,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",TsionTAbebe1,Ethiopia
92,, Latest (18-05-2020) Containment Zone in Chengalpet district with No. of Cases. District Administration has instructed m…,navinzan,"Tamil Nadu, India"
93,,       … ,destajos,Ethiopia
94,,"Guterres urges #Ethiopia, #Sudan and #Egypt to peacefully resolve differences on #GERD  … ",AnalyticaGlobal,Worldwide
95,, The Crocodile Tears of Egypt and The Grand Ethiopian Renaissance Dam (GERD). Read more.  #Ethiopia #Eg…,Tiruneh17,
96,,UN Secretary-General encourages Member States to reach agreement over Ethiopian Nile dam project | #Ethiopia #GERD… ,EthiopiaOnline,United States | Ethiopia
97,," Guterres urges #Ethiopia, #Sudan and #Egypt to peacefully resolve differences on #GERD    …",Abele_a,
98,,"Guterres urges #Ethiopia, #Sudan and #Egypt to peacefully resolve differences on #GERD  … ",fanatelevision,"ADDIS ABABA, ETHIOPIA"
99,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,mahlet_mesfin,
