,geo,text,user,location
460,, 10/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory GERD? (…,ped_src,"Memphis, TN"
461,, 9/13: What is your operation of choice for a patient with complex congenital heart disease with medically refractory GERD…,ped_src,"Memphis, TN"
462,, 8/13: What is your operation of choice for a neurologically normal patient with medically refractory GERD? (Reply if you…,ped_src,"Memphis, TN"
463,," 7/13: If you do not require a PPI trial, continuous gastric or post-pyloric feeds, or thickened/blenderized feeds, which…",ped_src,"Memphis, TN"
464,, 6/13: Which of the following GERD managements options are you most likely to require prior to performing an anti-reflux o…,ped_src,"Memphis, TN"
465,," 5/13: If you do not use a pH or impedance probe, gastric emptying study, or endoscopy prior to anti-reflux operations, wh…",ped_src,"Memphis, TN"
466,, 4/13: Which of the following studies is the most commonly performed at your institution to work up a patient prior to ant…,ped_src,"Memphis, TN"
467,, 3/13: Is an Upper GI always performed at your institution prior to anti-reflux operation? #APSA2020 #GERD,ped_src,"Memphis, TN"
468,, 2/13: How would you best describe your personal attitude towards the use of antireflux procedures? #APSA2020  #GERD,ped_src,"Memphis, TN"
469,," In anticipation of Thursday's #APSA2020 #GERD session, please respond to the following poll questions! 1/13: How would yo…",ped_src,"Memphis, TN"
470,, 13/13: Which of the following statements best describes the most common referral pattern you see regarding children with…,babydocbigdata,"Memphis, TN"
471,, 12/13: Which of the following options best characterizes your practice regarding when to perform an anti-reflux procedure…,babydocbigdata,"Memphis, TN"
472,, 11/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory GERD af…,babydocbigdata,"Memphis, TN"
473,, 10/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory GERD? (…,babydocbigdata,"Memphis, TN"
474,, 9/13: What is your operation of choice for a patient with complex congenital heart disease with medically refractory GERD…,babydocbigdata,"Memphis, TN"
475,, 8/13: What is your operation of choice for a neurologically normal patient with medically refractory GERD? (Reply if you…,babydocbigdata,"Memphis, TN"
476,," 7/13: If you do not require a PPI trial, continuous gastric or post-pyloric feeds, or thickened/blenderized feeds, which…",babydocbigdata,"Memphis, TN"
477,, 6/13: Which of the following GERD managements options are you most likely to require prior to performing an anti-reflux o…,babydocbigdata,"Memphis, TN"
478,," 5/13: If you do not use a pH or impedance probe, gastric emptying study, or endoscopy prior to anti-reflux operations, wh…",babydocbigdata,"Memphis, TN"
479,, 4/13: Which of the following studies is the most commonly performed at your institution to work up a patient prior to ant…,babydocbigdata,"Memphis, TN"
480,, 3/13: Is an Upper GI always performed at your institution prior to anti-reflux operation? #APSA2020 #GERD,babydocbigdata,"Memphis, TN"
481,," In anticipation of Thursday's #APSA2020 #GERD session, please respond to the following poll questions! 1/13: How would yo…",babydocbigdata,"Memphis, TN"
482,, 2/13: How would you best describe your personal attitude towards the use of antireflux procedures? #APSA2020  #GERD,babydocbigdata,"Memphis, TN"
483,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",tsegaye60981564,"England, United Kingdom"
484,," ""The attempt to pressure #Ethiopia to submit to the wills of others that have been benefiting from this water outside the…",meraf_admasu,Ethiopia
485,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",amanja123,"Göteborg, Sverige"
486,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",faris4ever,Middle East
487,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,Tsion_Engdaye,Ethiopia
488,," ""The attempt to pressure #Ethiopia to submit to the wills of others that have been benefiting from this water outside the…",selam_taa,
489,," ""The attempt to pressure #Ethiopia to submit to the wills of others that have been benefiting from this water outside the…",nawm1976,
490,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,MignotGirma,
491,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,BeteBerhanu,"Ethiopia, Shoa"
492,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,zelalem_work,Addis Ababa
493,," ""The attempt to pressure #Ethiopia to submit to the wills of others that have been benefiting from this water outside the…",eyobz,
494,,"""The attempt to pressure #Ethiopia to submit to the wills of others that have been benefiting from this water outsi… ",EthioLiberty,"Addis Abeba, Ethiopia"
495,, #Sudan's DUP asserts necessity of reaching agreement on #GERD  #Egypt ,AladinSinbad,"Nasr City,Cairo"
496,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,TsegaNardos,
497,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,nawm1976,
498,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",AnwarAdushe,🏔🌿Hidden Khat Leaf
499,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,Bahir_1,
500,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",elleni_tilahun,
501,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,BilisumaKegna,
502,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,kyisfa,Toronto
503,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",globetrotter1_,Addis x Abudhabi x LosAngeles 
504,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,DallasEzema,"Dallas,TX"
505,,"Nutriflux is an exciting combination of deglycyrrhizinised liquorice as GutGard®, together with marshmallow, chamom… ",naturalhealthbl,United Kingdom
506,, 13/13: Which of the following statements best describes the most common referral pattern you see regarding children with…,PubMEG,
507,, 12/13: Which of the following options best characterizes your practice regarding when to perform an anti-reflux procedure…,PubMEG,
508,, 11/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory GERD af…,PubMEG,
509,, 10/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory GERD? (…,PubMEG,
510,, 9/13: What is your operation of choice for a patient with complex congenital heart disease with medically refractory GERD…,PubMEG,
511,, 8/13: What is your operation of choice for a neurologically normal patient with medically refractory GERD? (Reply if you…,PubMEG,
512,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,ethio_man,Dallas TX
513,, 13/13: Which of the following statements best describes the most common referral pattern you see regarding children with…,ptrucheMD,"Boston, MA"
514,,When the Professor Speaks you listen! #Egypt #Suday #Ethiopia #ItsMyDam #GrandEthiopianRenaissanceDam #GERD ,iDreamEthiopia,
515,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,abrar_abdella,
516,, #Sudan's DUP asserts necessity of reaching agreement on #GERD #Ethiopia #Egypt  …,mar3e,"Cairo, Egypt"
517,,#Sudan's DUP asserts necessity of reaching agreement on #GERD  #Egypt ,ahramonline,Cairo
518,,The historic Anglechik Prosthesis: a procedure with forewarning for lap-bands and Linx?   #GERD #BariatricSurgery ,peoplemechanic,Near village of Water-on-Knee
519,,"This doctor believes we are in the midst of a #GERD epidemic. Over the past 40 years, #barrettsesophagus has increa… ",TampaBayReflux,
520,,Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding… ,ETHZema,Ethiopia
521,, #Ethiopia’s energy demand is growing by 19% every year. #GERD is instrumental to Ethiopia’s national  efforts to address t…,GEngida56,"L'Haÿ-les-Roses, France"
522,,13/13: Which of the following statements best describes the most common referral pattern you see regarding children… ,APSASurgeons,"Oakbrook Terrace, IL"
523,,12/13: Which of the following options best characterizes your practice regarding when to perform an anti-reflux pro… ,APSASurgeons,"Oakbrook Terrace, IL"
524,,11/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory G… ,APSASurgeons,"Oakbrook Terrace, IL"
525,,10/13: What is your operation of choice for a patient with severe neurologic impairment with medically refractory G… ,APSASurgeons,"Oakbrook Terrace, IL"
526,,9/13: What is your operation of choice for a patient with complex congenital heart disease with medically refractor… ,APSASurgeons,"Oakbrook Terrace, IL"
527,,8/13: What is your operation of choice for a neurologically normal patient with medically refractory GERD? (Reply i… ,APSASurgeons,"Oakbrook Terrace, IL"
528,," 7/13: If you do not require a PPI trial, continuous gastric or post-pyloric feeds, or thickened/blenderized feeds, which…",PubMEG,
529,, 6/13: Which of the following GERD managements options are you most likely to require prior to performing an anti-reflux o…,PubMEG,
530,,"7/13: If you do not require a PPI trial, continuous gastric or post-pyloric feeds, or thickened/blenderized feeds,… ",APSASurgeons,"Oakbrook Terrace, IL"
531,,6/13: Which of the following GERD managements options are you most likely to require prior to performing an anti-re… ,APSASurgeons,"Oakbrook Terrace, IL"
532,," 5/13: If you do not use a pH or impedance probe, gastric emptying study, or endoscopy prior to anti-reflux operations, wh…",PubMEG,
533,,"5/13: If you do not use a pH or impedance probe, gastric emptying study, or endoscopy prior to anti-reflux operatio… ",APSASurgeons,"Oakbrook Terrace, IL"
534,, 4/13: Which of the following studies is the most commonly performed at your institution to work up a patient prior to ant…,PubMEG,
535,,4/13: Which of the following studies is the most commonly performed at your institution to work up a patient prior… ,APSASurgeons,"Oakbrook Terrace, IL"
536,, 3/13: Is an Upper GI always performed at your institution prior to anti-reflux operation? #APSA2020 #GERD,PubMEG,
537,,3/13: Is an Upper GI always performed at your institution prior to anti-reflux operation? #APSA2020 #GERD,APSASurgeons,"Oakbrook Terrace, IL"
538,, 2/13: How would you best describe your personal attitude towards the use of antireflux procedures? #APSA2020  #GERD,PubMEG,
539,,2/13: How would you best describe your personal attitude towards the use of antireflux procedures? #APSA2020  #GERD,APSASurgeons,"Oakbrook Terrace, IL"
540,,"In anticipation of Thursday's #APSA2020 #GERD session, please respond to the following poll questions! 1/13: How wo… ",APSASurgeons,"Oakbrook Terrace, IL"
541,,"""#Ethiopa does not have a legal obligation to seek approval of #Egypt to fill the dam"". #GERD  ",alemange2010,Ethiopia
542,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",BilisumaKegna,
543,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",jonatanasegid44,Ethiopia
544,,   65 million Ethiopians don't have access to electricity. Without electricity th… ,henokethiopia,USA
545,,", ref #GERD, with all the rain causing floods, wouldn't it be prudent to start filling up the reservoir? Wondering :-?",FundiMuigai,In the 254
546,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",henokethiopia,USA
547,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",Stafiliya,United Arab Emirates
548,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,alkhobaib,Sudan
549,," More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/3 of sc…",ZerihunZAY,"London, England"
550,,  Yes I hope Hawi can save #GERD dam From Triator Abiye who swear to give it away in Egypt,Marnjam1,
551,, #Ethiopia’s energy demand is growing by 19% every year. #GERD is instrumental to Ethiopia’s national  efforts to address t…,ForGlobalGoals,Earth
552,,      As our fathers even if we have different… ,DaveSmith524,
553,, #Ethiopia’s energy demand is growing by 19% every year. #GERD is instrumental to Ethiopia’s national  efforts to address t…,eAnkitPandey,Piramal School of Leadership
554,,#Ethiopia’s energy demand is growing by 19% every year. #GERD is instrumental to Ethiopia’s national  efforts to ad… ,NebiyuTedla,Kingdom of Saudi Arabia
555,,"Difference between #DoP and #CFA, regarding #GERD#CFA  is #legally binding and ratified by most of the basin coun… ",nile_basin,
556,,"More than 65 million Ethiopians, Africa’s 2nd most populous country, have no access to #electricity. As a result 2/… ",NebiyuTedla,Kingdom of Saudi Arabia
557,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",NebiatD,
558,, We co-authored a piece for German Press about Ethio-Egypt  #Nile (#GERD) dispute with my colleague Prof. Russel Miller of…,Misbah47954203,Addis Ababa
559,,Please never ignore frequent heartburn. It can cause serious damage to the esophagus and lead to esophageal cancer… ,SalgiFoundation,"Providence, RI"
560,,Don’t miss my weekly round-up of #Egypt’s news and reports.#GERD #COVID19  #IMF ,Nervana_1,"England, United Kingdom"
561,,#Sudan's DUP asserts necessity of reaching agreement on #GERD #Ethiopia #Egypt  ,ahramonline,Cairo
562,,I'll be on  today at 2:15 PM talking about Acid Reflux. Chune eeeen!!#Health #GERD #Reflux,drmarioguthrie,"Kingston, Jamaica"
563,,      Yes but it’s main purpose has shifted fr… ,itsmydam1,
564,,"For #Ethiopia, the agreement is seen as a crooked way of making #GERD (built 100% by #Ethiopians in its #territory)… ",FDisputes,
565,,Ethiopia does not have legal obligation to seek approval of Egypt and Sudan nor anyone else to fill its Dam.#GERD ,AllRightsForAll,
566,,Happy Monday everyone! Just a friendly little announcement regarding my latest book. It exists! Want to learn more… ,AndyThaRD,"Toronto, Ontario"
567,, Risk of war between #ETH &amp; #EGY over #GERD is &lt;5% 1. Any attack would be an act of desperation wit… ,FDisputes,
568,, Risk of war between #ETH &amp; #EGY over #GERD is &lt;5% 1. Any attack would be an act of desperation wit… ,FDisputes,
569,,#Sudan's #DUP asserts necessity of reaching agreement on #GERD  #Ethiopia ,ahramonline,Cairo
570,," I don’t know why some of you are worried about the #Egyptian army? Throughout their history, Egyptians have never won a…",Meareg8,
571,," I don’t know why some of you are worried about the #Egyptian army? Throughout their history, Egyptians have never won a…",gmaal1963,المقاومه الشعبيه هي الحل 
572,,"I don’t know why some of you are worried about the #Egyptian army? Throughout their history, Egyptians have never w… ",miniliksalsawi,Better Together ! Addis Ababa
573,,Ethiopia does not have legal obligation to seek approval of Egypt and Sudan nor anyone else to fill its Dam.#GERD,AllRightsForAll,
574,, Smear Campaigns Never Stop #GERD፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬//[The] issue of Dam safety has been raised by Egypt to…,AlazarFeleke3,
575,, The whole world knows #Egypt unfairly exploited #Nile for generations. #Egypt #HighAswanDam reservoir is more than twice as…,Tiruneh17,
576,, ETHIOPIA: #Droughts prompt hydro rethink | #GERD project and #Renewables focus | #WaterSecurity  ,Ideas4A,
577,,ETHIOPIA: #Droughts prompt hydro rethink | #GERD project and #Renewables focus | #WaterSecurity  ,WaterTrends,Canada
578,,Gastroesophageal reflux disease is a condition which affects the lower part of the esophagus near the stomach. Dr.… ,LILapSurgery,"625 Belle Terre Rd #202, Port Jefferson, NY 11777"
579,,The whole world knows #Egypt unfairly exploited #Nile for generations. #Egypt #HighAswanDam reservoir is more than… ,itsmydam1,
580,, #GERD can play a significant role in ending malnutrition in all its forms in the region. #Zero_Hunger #Child_Stunting #Ch…,LydiahNdekere,"Nairobi, Kenya"
581,, A diplomatic dance that's going nowhereTime for parties to reconvene and try again to negotiate a #GERD compromisehttps…,mespanolescofet,"El Caire, Egipte"
582,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,AshenafiTeklu3,
583,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",a7madhassn,"Blue Earth, MN"
584,,Blog: AU Leadership Absent From Egypt and Ethiopia Dam Dispute#hydropower #GERD #watersupply… ,EnvPeacebuild,
585,, #GERD can play a significant role in ending malnutrition in all its forms in the region. #Zero_Hunger #Child_Stunting #Ch…,SDGoals,
586,, Almost one &amp; half months left to impound the Grand Ethiopian Renaissance Dam (#GERD) ታላቁ የኢትዮጵያ ሕዳሴ ግድብ 💚💛❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹…,SamsonKifle2,
587,, A diplomatic dance that's going nowhereTime for parties to reconvene and try again to negotiate a #GERD compromisehttps…,ShalleOsman,
588,,A diplomatic dance that's going nowhereTime for parties to reconvene and try again to negotiate a #GERD compromis… ,wdavison10,Ethiopia
589,,"""#GERD is a project that would right a historic wrong"". #Ethiopia #Sudan #Egypt #UN #UNSC #AU  ",alemange2010,Ethiopia
590,,"Did you get out to your favorite, local restaurant this past weekend?  Did you have trouble sleeping from the aci… ",RemDavisStudies,"Columbus, Ohio"
591,,The next meeting will be held in #Kartoum in the eve filling of #GERD. So #Sudan will be relived from flooding goin… ,alemange2010,Ethiopia
592,,We also got the PDF of Egypt's 17 page address here for those of you curious to see where Cairo is currently at. #GERD,ZekuZelalem,Addis Ababa or Toronto
593,, The conflict over the Grand Ethiopian Renaissance Dam (#GERD) is approaching another critical phase with the dam's filling.T…,annetteweber1,"Berlin, Deutschland"
594,,The conflict over the Grand Ethiopian Renaissance Dam (#GERD) is approaching another critical phase with the dam's… ,SWP_MEA,"Berlin, Deutschland"
595,,"Yes, #Ethiopia has both natural and legal rights to fill its own dam #GERD built without any external financial sou… ",DrTayeD,
596,," Ethiopia also said ""the impoundment 18.4 bn cubic meters in two rounds causes no significant harm to #Egypt."" The lett…",AlexGmariam,
597,," Ethiopia also said ""the impoundment 18.4 bn cubic meters in two rounds causes no significant harm to #Egypt."" The lett…",YehenewW,United States
598,,"Ethiopia also said ""the impoundment 18.4 bn cubic meters in two rounds causes no significant harm to #Egypt."" The… ",addisstandard,Addis Ababa
599,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,globetrotter1_,Addis x Abudhabi x LosAngeles 
600,,#GERD the Egyptian government was absolutely wrong when it pinned its hope on the American hoping for solving the D… ,just_Egyptian99,
601,, #Ethiopia contributes over 50% of Nile River water while #Egypt contributes NOTHING but demands #Ethiopia to beg it to…,DDWabera,Looking into a Viewfinder...
602,, Ethiopia aspires to grow anchored in utilisation of our natural endowments. I thank the #GERD technical team for their up…,TesfaGet,"Debremarkos, Gojjam, Ethiopia "
603,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,dutdere,Dubai 
604,, Conditions that need to be in place if any #NileSharing #GERD agreement b/n #ETH #EGY #SUD remain valid-  as long as #EGY✅N…,BerhanuMegerssa,Ethiopia
605,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",BerhanuMegerssa,Ethiopia
606,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,a7madhassn,"Blue Earth, MN"
607,, Almost one &amp; half months left to impound the Grand Ethiopian Renaissance Dam (#GERD) ታላቁ የኢትዮጵያ ሕዳሴ ግድብ 💚💛❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹…,Yezid_Muhammed,"Addis Ababa , Ethiopia"
608,, Antacids are not recommended for the treatment of #GERD or esophagitis in infants and children.  …,PediatriaPepo," Catia, Caracas, Venezuela"
609,,Leif is here today 😂Dm me if you'd like to come over and buy some flowers 🥰#AnimalCrossingNewHorizons #ACNH… ,larissa72a,
610,, Antacids are not recommended for the treatment of #GERD or esophagitis in infants and children.  …,alskarlatou,"Θεσσαλονίκη, Ελλάς"
611,,"#Ethiopia Says Not Compelled to Notify Egypt, Sudan on #GERD Filling ",aawsat_eng,London
612,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,BlueColumns,
613,,#Ethiopia contributes over 50% of Nile River water while #Egypt contributes NOTHING but demands #Ethiopia to beg it… ,ABDUBAGUYODIDA1,
614,, Risk of war between #ETH &amp; #EGY over #GERD is &lt;5% ✅Any attack would be an act of desperation without any gain #NothingToWin…,nile_basin,
615,,Risk of war between #ETH &amp; #EGY over #GERD is &lt;5% ✅Any attack would be an act of desperation without any gain… ,FDisputes,
616,,#GERD is important for the development of all SubSharan #Africa as it is for #Ethiopia. #Egypt it is time to leap f… ,realTefera,United States
617,,I find this video interesting and fair with all those comments#ItsMyDam#GERD,MirutsHadush,
618,,Conditions that need to be in place if any #NileSharing #GERD agreement b/n #ETH #EGY #SUD remain valid-  as long a… ,FDisputes,
619,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,iyoba4u,Ethiopia
620,, Useful #GERD FAQ for media and others here from Ethiopian International Professional Support for Abay/Nile …,mutigam,"Nairobi, Kenya"
621,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,weirdpotato111,Out of the world 
622,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,abraham_eazy,in my feelings
623,,Smear Campaigns Never Stop #GERD፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬//[The] issue of Dam safety has been raised b… ,iyoba4u,Ethiopia
624,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,Samson_Haile1,Ethiopia
625,," #GERD #Ethiopia ግብጽ ይህንን አሳፋሪና ኋላቀር የ1959 ""ስምምነት"" ይዛ ነው የምትንገታገተው high time for #Egypt to drop 1959 colonial time obsole…",BerhanuMegerssa,Ethiopia
626,," #GERD #Ethiopia ግብጽ ይህንን አሳፋሪና ኋላቀር የ1959 ""ስምምነት"" ይዛ ነው የምትንገታገተው high time for #Egypt to drop 1959 colonial time obsole…",Tiruneh17,
627,,Ethiopia Nile - Sign the Petition!  via  #GERD,KebedeT,Ethiopia
628,, Almost one &amp; half months left to impound the Grand Ethiopian Renaissance Dam (#GERD) ታላቁ የኢትዮጵያ ሕዳሴ ግድብ 💚💛❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹…,Zewge2012Alex,
629,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,davidshiferaw1,
630,,  🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to reso… ,Tiruneh17,
631,,  🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to reso… ,Tiruneh17,
632,,  🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute… ,Tiruneh17,
633,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the… ,Tiruneh17,
634,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,MarkosRike1,"Addis Ababa, Ethiopia"
635,,This is how #Egypt gonna look like when we fill the dam! #Ethiopia #itsmydam #GERD ,AmaraFirst,
636,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",DerejeBG,
637,, Ethiopian has a number of locations to build the dam on the river of Nile. But #GERD  is constructing  20 miles away from E…,AdilG,"Baileys Crossroads, VA"
638,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,AdilG,"Baileys Crossroads, VA"
639,,Ethiopian has a number of locations to build the dam on the river of Nile. But #GERD  is constructing  20 miles awa… ,Eyobkiflu1,"Reston, VA"
640,,#GERD can play a significant role in ending malnutrition in all its forms in the region. #Zero_Hunger… ,zerubbabel_G,"Nairobi, Kenya"
641,,"#GERD #Ethiopia ግብጽ ይህንን አሳፋሪና ኋላቀር የ1959 ""ስምምነት"" ይዛ ነው የምትንገታገተው high time for #Egypt to drop 1959 colonial time o… ",getachew_zeki,"Calgary, Canada"
642,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,eliabt,Washington D.C
643,,#askadoctor #AskTwitter #AcidReflux #Gerd Is this true? ,QTBooT2,Eastern North Carolina
644,, The whole continent of #Africa must shine. For how long the heart of Darkness...? #Ethiopia #Gerd,SimedD,"Plano, Texas"
645,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",elshadai_g,
646,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,Mu77267282,
647,," Indeed, time to lift the curtain of darkness and underdevelopment, and welcome the dawn of the promise o… ",samabe,
648,," Ethiopia Not Compelled to Notify Egypt, Sudan on the Filling of #GERD፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬Ethiopia’s plan to st…",Mohammed222022,SCOTLAND
649,," Sudan walks right path in GERD crisis, says Egyptian Strategic Studies CenterDetails at #Egypt…",tamerred,Al-Khobar
650,," Despite dispute, #Ethiopia to fill dam from July - The East African #GERD  ",MahletKS,"Baltimore, MD"
651,,  #Ethiopia will not sign a guaranteed amount flow but only natural flow during prolonged d… ,itsmydam1,
652,,Revolutionary Democracy and defending  Meles's glorious legacies such such #GERD!,AberaLucas,
653,,#GERD Is one of the top Meles legacy &amp; Ethiopian biggest asset where I paid my two months salary! He who does not… ,AberaLucas,
654,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,Adonay_a_Teklu,
655,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,HaddisMT,GMT+0
656,,Egypt-Ethiopia dispute over giant Nile dam reaches critical point -  | #Ethiopia #GERD #ItsMyDam | ,EthiopiaOnline,United States | Ethiopia
657,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,TheAfricanTlk,
658,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,Zerihun_et,Norway
659,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,tsibhatu,Addis Ababa
660,, Almost one &amp; half months left to impound the Grand Ethiopian Renaissance Dam (#GERD) ታላቁ የኢትዮጵያ ሕዳሴ ግድብ 💚💛❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹…,Agaro54464112,
661,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,rukwebi,Earth
662,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,Benji_xfile,
663,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,africaupdates,
664,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,eskendira,
665,,GERD has been kicking my ass lately. I have a feeling I need to go in and get my esophagus stretched again.  I don’… ,crazykiddies,I wish a deserted island.
666,, The whole continent of #Africa must shine. For how long the heart of Darkness...? #Ethiopia #Gerd,Mohammed222022,SCOTLAND
667,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,davidshiferaw1,
668,, I saw an article headline that says “Russian made Pantsir s1 missile defense system seen at Ethiopian 🇪🇹 #GERD “ written in…,Sanyiikoo_Oromo,🇺🇸United States | Maryland 
669,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,yidnek21,
670,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,wibadis,planet Earth 🌍
671,, #Egipt approache to the #GERD. Who is wasting 10 billion m³ of water in evaporation?Who is contributing 0% but using 99%?Wh…,kalkida32968587,Rotary Peace Fellow-DUKE-UNC
672,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,BelaMafia1,
673,, Almost one &amp; half months left to impound the Grand Ethiopian Renaissance Dam (#GERD) ታላቁ የኢትዮጵያ ሕዳሴ ግድብ 💚💛❤️🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹…,kalkida32968587,Rotary Peace Fellow-DUKE-UNC
674,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,kalkida32968587,Rotary Peace Fellow-DUKE-UNC
675,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,TameratGebchara,
